Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2017,,Tristan Thompson,CLE,78,50,28,29.9,11304.2,2.14,1.13,1.01,4.3,4.48,4.11
2017,,Trey Lyles,UTA,71,43,28,16.3,6029.7,1.14,0.62,0.52,4.21,4.43,3.97
2017,,Trey Burke,WAS,57,35,22,12.3,4777.9,0.9,0.48,0.42,4.42,4.64,4.19
2017,,Trevor Booker,BKN,70,18,52,24.8,9540.2,1.81,0.96,0.85,4.39,4.75,4.04
2017,,Trevor Ariza,HOU,80,53,27,34.7,12306.3,2.33,1.17,1.16,4.05,4.21,3.9
2017,,Treveon Graham,CHA,27,10,17,7,2725.2,0.52,0.29,0.23,4.45,4.67,4.2
2017,,Tony Snell,MIL,80,42,38,29.2,10281.1,1.95,0.96,0.99,4.02,4.02,4.02
2017,,Tony Parker,SAS,62,46,16,25.1,9899.5,1.87,1.08,0.8,4.5,4.94,4.03
2017,,Tony Allen,MEM,71,36,35,26.9,9722.9,1.84,0.95,0.89,4.11,4.13,4.1
2017,,Toney Douglas,MEM,24,15,9,16.4,6526,1.24,0.68,0.55,4.53,4.71,4.33
2017,,Tomas Satoransky,WAS,57,33,24,12.6,4996.4,0.95,0.49,0.45,4.51,4.76,4.27
2017,,Tobias Harris,DET,82,37,45,31.3,11769.3,2.23,1.21,1.01,4.29,4.7,3.88
2017,,Timothe Luwawu-Cabarrot,PHI,69,23,46,17.3,7230.5,1.37,0.75,0.62,4.78,5.33,4.24
2017,,Timofey Mozgov,LAL,54,16,38,20.4,7965.5,1.51,0.82,0.69,4.44,4.72,4.14
2017,,Tim Quarterman,POR,16,6,10,5,1972.9,0.37,0.2,0.17,4.5,4.76,4.23
2017,,Tim Hardaway Jr.,ATL,79,42,37,27.3,10010.5,1.9,0.98,0.91,4.19,4.49,3.91
2017,,Tim Frazier,NOP,65,26,39,23.5,8927,1.69,0.9,0.79,4.33,4.73,3.95
2017,,Tiago Splitter,PHI,8,1,7,9.5,3460.1,0.66,0.36,0.3,4.25,4.57,4.08
2017,,Thon Maker,MIL,57,31,26,9.9,4041.9,0.77,0.39,0.37,4.67,4.9,4.46
2017,,Thomas Robinson,LAL,48,15,33,11.7,4485.3,0.85,0.45,0.4,4.37,4.71,4.04
2017,,Thaddeus Young,IND,73,40,33,30.3,11449.5,2.17,1.13,1.04,4.31,4.57,4.05
2017,,Thabo Sefolosha,ATL,62,32,30,25.7,9819.4,1.86,0.99,0.87,4.35,4.68,4.04
2017,,Terry Rozier,BOS,74,47,27,17.1,6770.1,1.28,0.7,0.59,4.51,4.87,4.15
2017,,Terrence Ross,ORL,77,38,39,25.1,9548.2,1.81,0.96,0.85,4.33,4.72,3.97
2017,,Terrence Jones,MIL,54,20,34,23.5,8416.5,1.59,0.84,0.76,4.07,4.36,3.79
2017,,Taurean Prince,ATL,59,28,31,16.6,6076.1,1.15,0.6,0.55,4.16,4.46,3.87
2017,,Tarik Black,LAL,67,24,43,16.3,6238.1,1.18,0.63,0.55,4.37,4.77,3.99
2017,,Taj Gibson,OKC,78,41,37,25.5,9280.5,1.76,0.95,0.81,4.16,4.42,3.88
2017,,TJ Warren,PHX,64,19,45,31.2,12013.3,2.28,1.17,1.11,4.39,4.63,4.16
2017,,T.J. McConnell,PHI,81,27,54,26.3,10988.3,2.08,1.18,0.9,4.75,5.35,4.14
2017,,Steven Adams,OKC,80,47,33,29.9,10721.5,2.03,1.03,1,4.08,4.33,3.86
2017,,Steve Novak,MIL,8,6,2,2.7,991.6,0.19,0.11,0.08,4.1,4.33,3.86
2017,,Stephen Zimmerman,ORL,19,8,11,5.7,2190.7,0.41,0.22,0.2,4.41,4.61,4.21
2017,,Stephen Curry,GSW,79,65,14,33.4,13086.4,2.48,1.32,1.16,4.46,5.13,3.88
2017,,Stanley Johnson,DET,77,35,42,17.8,6861.4,1.3,0.69,0.61,4.39,4.64,4.14
2017,,Spencer Hawes,MIL,54,27,27,14.8,5376.1,1.02,0.56,0.46,4.14,4.43,3.85
2017,,Spencer Dinwiddie,BKN,58,13,45,22.6,8377,1.59,0.85,0.74,4.21,4.56,3.88
2017,,Solomon Hill,NOP,80,34,46,29.7,10890.6,2.06,1.05,1.01,4.18,4.46,3.91
2017,,Skal Labissiere,SAC,33,9,24,18.5,6970.6,1.32,0.7,0.62,4.28,4.54,4.02
2017,,Shelvin Mack,UTA,55,34,21,21.9,8600.2,1.63,0.9,0.73,4.47,4.75,4.18
2017,,Sheldon Mac,WAS,30,17,13,9.6,3754.8,0.71,0.38,0.33,4.47,4.83,4.12
2017,,Shawn Long,PHI,18,5,13,13,4775.7,0.9,0.48,0.43,4.2,4.48,3.92
2017,,Shaun Livingston,GSW,76,63,13,17.7,6716.8,1.27,0.68,0.59,4.33,4.82,3.87
2017,,Shabazz Napier,POR,53,26,27,9.7,3522.7,0.67,0.37,0.29,4.16,4.55,3.72
2017,,Shabazz Muhammad,MIN,78,29,49,19.4,7372.9,1.4,0.72,0.68,4.33,4.38,4.28
2017,,Seth Curry,DAL,69,29,40,29.1,10860,2.06,1.14,0.92,4.25,4.47,4.01
2017,,Sergio Rodriguez,PHI,68,24,44,22.3,9468.6,1.79,1.05,0.75,4.83,5.59,4.06
2017,,Serge Ibaka,TOR,79,37,42,30.7,10909.7,2.07,1.1,0.97,4.07,4.35,3.79
2017,,Semaj Christon,OKC,64,36,28,15.2,5654.8,1.07,0.57,0.5,4.24,4.56,3.92
2017,,Sean Kilpatrick,BKN,69,14,55,25.1,9454.7,1.79,0.95,0.84,4.29,4.69,3.91
2017,,Sasha Vujacic,NYK,42,14,28,9.7,3750.3,0.71,0.38,0.33,4.39,4.72,4.09
2017,,Sam Dekker,HOU,77,52,25,18.4,7444.9,1.41,0.74,0.67,4.6,5.09,4.15
2017,,Salah Mejri,DAL,72,28,44,12.3,4551.8,0.86,0.46,0.4,4.21,4.22,4.18
2017,,Ryan Kelly,ATL,16,6,10,6.9,2435.7,0.46,0.24,0.22,4.03,4.49,3.62
2017,,Ryan Anderson,HOU,72,50,22,29.4,10319.9,1.95,1.04,0.92,4.01,4.38,3.66
2017,,Russell Westbrook,OKC,81,46,35,34.6,12533.4,2.37,1.28,1.09,4.13,4.72,3.61
2017,,Rudy Gobert,UTA,81,51,30,33.9,12638.4,2.39,1.32,1.07,4.25,4.53,3.96
2017,,Rudy Gay,SAC,30,11,19,33.8,12465,2.36,1.28,1.08,4.21,4.42,3.99
2017,,Roy Hibbert,DEN,48,24,24,14.2,5137.1,0.97,0.52,0.45,4.13,4.33,3.91
2017,,Ronnie Price,PHX,14,4,10,9.6,3763.4,0.71,0.38,0.34,4.48,4.81,4.17
2017,,Rondae Hollis-Jefferson,BKN,77,19,58,22.6,9024.6,1.71,0.91,0.8,4.55,4.97,4.15
2017,,Ron Baker,NYK,52,14,38,16.5,6553.5,1.24,0.67,0.57,4.52,4.91,4.15
2017,,Rodney Stuckey,IND,39,17,22,17.9,6270,1.19,0.65,0.54,4,4.28,3.71
2017,,Rodney McGruder,MIA,78,40,38,25.2,10253.5,1.94,1.05,0.89,4.63,4.87,4.38
2017,,Rodney Hood,UTA,59,40,19,27,10071,1.91,1.06,0.85,4.25,4.53,3.95
2017,,Robin Lopez,CHI,81,40,41,28,10038.1,1.9,1.03,0.87,4.08,4.3,3.84
2017,,Robert Covington,PHI,67,27,40,31.6,11829.7,2.24,1.22,1.02,4.26,4.61,3.9
2017,,Ricky Rubio,MIN,75,28,47,32.9,12392.7,2.35,1.28,1.07,4.28,4.54,4.01
2017,,Richaun Holmes,PHI,57,16,41,20.9,7762,1.47,0.78,0.69,4.22,4.5,3.94
2017,,Richard Jefferson,CLE,79,50,29,20.4,7024.2,1.33,0.68,0.66,3.92,3.95,3.89
2017,,Reggie Williams,NOP,6,1,5,13.2,5146,0.97,0.54,0.43,4.39,4.84,4.06
2017,,Reggie Jackson,DET,52,23,29,27.4,10113.4,1.92,1.03,0.89,4.21,4.57,3.85
2017,,Reggie Bullock,DET,31,13,18,15.1,5832.4,1.1,0.59,0.52,4.41,4.75,4.11
2017,,Raymond Felton,LAC,80,50,30,21.3,7976.7,1.51,0.78,0.73,4.28,4.33,4.22
2017,,Raul Neto,UTA,40,24,16,8.7,3451.2,0.65,0.34,0.31,4.54,4.71,4.36
2017,,Rashad Vaughn,MIL,41,18,23,11.2,4301.3,0.81,0.43,0.39,4.38,4.51,4.24
2017,,Randy Foye,BKN,68,17,51,18.8,6886,1.3,0.68,0.62,4.18,4.43,3.94
2017,,Ramon Sessions,CHA,50,23,27,16.2,5943.2,1.13,0.61,0.51,4.18,4.5,3.84
2017,,Rakeem Christmas,IND,29,14,15,7.6,2682.2,0.51,0.26,0.24,4.03,4.11,3.94
2017,,Rajon Rondo,CHI,69,34,35,26.7,9776.3,1.85,0.99,0.86,4.17,4.39,3.95
2017,,RJ Hunter,CHI,3,2,1,3,1150,0.22,0.12,0.1,4.59,4.91,4.24
2017,,Quinn Cook,NOP,14,9,5,13.4,5306.8,1.01,0.53,0.47,4.53,4.79,4.26
2017,,Quincy Acy,BKN,38,11,27,14.7,5419.8,1.03,0.55,0.47,4.21,4.58,3.84
2017,,Pierre Jackson,DAL,9,4,5,9.4,3679.8,0.7,0.37,0.32,4.59,4.88,4.29
2017,,Paul Zipser,CHI,44,21,23,19.2,7443.4,1.41,0.77,0.64,4.42,4.78,4.06
2017,,Paul Pierce,LAC,25,16,9,11.1,3614.4,0.68,0.36,0.32,3.71,3.78,3.64
2017,,Paul Millsap,ATL,69,40,29,34,12267.6,2.32,1.22,1.1,4.12,4.42,3.83
2017,,Paul George,IND,74,39,35,35.9,13175.2,2.5,1.32,1.18,4.17,4.47,3.89
2017,,Pau Gasol,SAS,63,47,16,25.4,9091.1,1.72,0.95,0.78,4.09,4.37,3.78
2017,,Patty Mills,SAS,80,60,20,21.9,9099.5,1.72,0.96,0.76,4.73,5.32,4.14
2017,,Patrick Patterson,TOR,65,42,23,24.6,8760.2,1.66,0.89,0.77,4.06,4.36,3.76
2017,,Patrick McCaw,GSW,71,57,14,15.1,5744.1,1.09,0.57,0.52,4.32,4.6,4.06
2017,,Patrick Beverley,HOU,67,46,21,30.7,11976.5,2.27,1.16,1.11,4.45,4.75,4.18
2017,,Patricio Garino,ORL,5,2,3,8.6,3424.2,0.65,0.38,0.27,4.46,4.85,4.3
2017,,Pat Connaughton,POR,39,18,21,8.1,3079.9,0.58,0.33,0.25,4.34,4.75,3.9
2017,,Pascal Siakam,TOR,54,34,20,15.4,6127.6,1.16,0.62,0.54,4.55,4.79,4.3
2017,,PJ Tucker,TOR,79,34,45,27.6,9814.7,1.86,0.97,0.89,4.05,4.23,3.87
2017,,Otto Porter Jr.,WAS,80,48,32,32.6,12640.3,2.39,1.24,1.15,4.42,4.72,4.13
2017,,Omri Casspi,MIN,36,12,24,17.8,6734.2,1.28,0.7,0.57,4.3,4.61,3.97
2017,,Omer Asik,NOP,31,12,19,15.6,5672.8,1.07,0.57,0.5,4.15,4.47,3.84
2017,,Okaro White,MIA,35,26,9,13.5,5225.7,0.99,0.54,0.45,4.42,4.59,4.23
2017,,Norris Cole,OKC,13,5,8,9.6,3533,0.67,0.35,0.32,4.32,4.77,3.92
2017,,Norman Powell,TOR,75,46,29,17.9,6923,1.31,0.71,0.6,4.41,4.71,4.12
2017,,Noah Vonleh,POR,74,38,36,17.1,6667.5,1.26,0.69,0.58,4.44,4.73,4.14
2017,,Nikola Vucevic,ORL,75,27,48,28.8,10106.7,1.91,0.98,0.93,4.01,4.26,3.78
2017,,Nikola Mirotic,CHI,70,37,33,24,8915.3,1.69,0.92,0.77,4.23,4.6,3.86
2017,,Nikola Jokic,DEN,72,36,36,27.9,10182.8,1.93,1.05,0.87,4.15,4.57,3.74
2017,,Nik Stauskas,PHI,80,27,53,27.4,10897.3,2.06,1.15,0.91,4.54,5.07,4.01
2017,,Nicolas Laprovittola,SAS,18,15,3,9.7,3841.7,0.73,0.4,0.32,4.53,4.89,4.15
2017,,Nicolas Brussino,DAL,54,18,36,9.7,3826.9,0.72,0.41,0.32,4.51,4.99,4.01
2017,,Nicolas Batum,CHA,77,35,42,34,13040.6,2.47,1.33,1.14,4.37,4.68,4.04
2017,,Nick Young,LAL,60,19,41,25.9,9284.3,1.76,0.92,0.83,4.08,4.31,3.85
2017,,Nick Collison,OKC,20,10,10,6.4,2428.2,0.46,0.25,0.21,4.34,4.86,3.83
2017,,Nerlens Noel,DAL,51,24,27,20.5,7452.8,1.41,0.75,0.66,4.14,4.35,3.91
2017,,Nene,HOU,67,47,20,17.9,6660.8,1.26,0.64,0.62,4.24,4.56,3.95
2017,,Nemanja Bjelica,MIN,65,28,37,18.3,6821.8,1.29,0.69,0.6,4.25,4.53,3.96
2017,,Myles Turner,IND,80,42,38,31.5,11526.8,2.18,1.15,1.03,4.16,4.5,3.85
2017,,Montrezl Harrell,HOU,58,39,19,18.3,6685.7,1.27,0.66,0.6,4.14,4.48,3.83
2017,,Monta Ellis,IND,73,39,34,27,9801.1,1.86,0.98,0.88,4.13,4.36,3.91
2017,,Mirza Teletovic,MIL,70,36,34,16.2,5995.7,1.14,0.61,0.53,4.23,4.61,3.87
2017,,Mindaugas Kuzminskas,NYK,68,24,44,14.9,5901.1,1.12,0.61,0.51,4.49,4.9,4.08
2017,,Miles Plumlee,CHA,45,19,26,10.8,4052.8,0.77,0.39,0.37,4.29,4.49,4.11
2017,,Mike Tobey,CHA,2,0,2,12.6,4616.5,0.87,0.47,0.4,4.06,4.09,4.02
2017,,Mike Scott,ATL,18,7,11,10.8,4149.9,0.79,0.41,0.37,4.35,4.71,4.01
2017,,Mike Muscala,ATL,70,36,34,17.7,6979.4,1.32,0.71,0.61,4.5,4.93,4.09
2017,,Mike Miller,DEN,19,8,11,7.8,2838.2,0.54,0.3,0.24,4.15,4.65,3.67
2017,,Mike Dunleavy,ATL,53,34,19,15.9,6142.6,1.16,0.64,0.53,4.42,4.85,3.98
2017,,Mike Conley,MEM,69,35,34,33.2,12298,2.33,1.31,1.02,4.22,4.57,3.84
2017,,Michael Kidd-Gilchrist,CHA,81,36,45,29,11535.1,2.18,1.14,1.05,4.53,4.67,4.38
2017,,Michael Gbinije,DET,9,7,2,3.5,1367.7,0.26,0.15,0.11,4.37,5.02,4.05
2017,,Michael Carter-Williams,CHI,45,25,20,18.8,7276.2,1.38,0.75,0.63,4.41,4.7,4.1
2017,,Michael Beasley,MIL,56,23,33,16.7,6296.5,1.19,0.61,0.58,4.32,4.56,4.08
2017,,Meyers Leonard,POR,74,37,37,16.5,5597.9,1.06,0.57,0.49,3.86,4.05,3.66
2017,,Metta World Peace,LAL,25,8,17,6.4,2321.9,0.44,0.22,0.22,4.12,4.25,3.99
2017,,Maurice Ndour,NYK,32,10,22,10.4,4099.6,0.78,0.4,0.38,4.52,4.77,4.32
2017,,Maurice Harkless,POR,77,38,39,28.9,11093.8,2.1,1.11,0.99,4.38,4.62,4.14
2017,,Matthew Dellavedova,MIL,76,39,37,26.1,9789,1.85,1,0.85,4.28,4.74,3.83
2017,,Matt Barnes,GSW,74,38,36,24,9147.2,1.73,0.95,0.78,4.34,4.73,3.93
2017,,Mason Plumlee,DEN,81,38,43,26.5,9886.9,1.87,1.01,0.86,4.26,4.58,3.94
2017,,Marvin Williams,CHA,76,32,44,30.2,11506.8,2.18,1.22,0.96,4.34,4.8,3.86
2017,,Marshall Plumlee,NYK,21,6,15,8.1,3150.3,0.6,0.32,0.28,4.42,4.75,4.09
2017,,Marreese Speights,LAC,82,51,31,15.7,5339.9,1.01,0.54,0.48,3.88,4.04,3.73
2017,,Marquese Chriss,PHX,80,23,57,21.3,8225.6,1.56,0.83,0.73,4.4,4.83,4
2017,,Markieff Morris,WAS,76,45,31,31.2,10423.6,1.97,1,0.98,3.8,3.95,3.66
2017,,Mario Hezonja,ORL,65,20,45,14.8,5587.1,1.06,0.56,0.5,4.31,4.53,4.09
2017,,Marcus Thornton,WAS,33,15,18,17.4,6290.1,1.19,0.63,0.56,4.11,4.33,3.92
2017,,Marcus Smart,BOS,79,51,28,30.4,10674.5,2.02,1.07,0.95,4,4.25,3.76
2017,,Marcus Morris,DET,79,36,43,32.5,12026.1,2.28,1.23,1.05,4.22,4.57,3.87
2017,,Marcus Georges-Hunt,ORL,5,2,3,9.5,3510.4,0.66,0.37,0.29,4.18,4.48,4.11
2017,,Marco Belinelli,CHA,74,34,40,24,9417.8,1.78,1.01,0.77,4.46,4.95,3.95
2017,,Marcin Gortat,WAS,82,49,33,31.2,11345.3,2.15,1.12,1.03,4.15,4.44,3.87
2017,,Marcelo Huertas,LAL,23,5,18,10.3,4091.1,0.77,0.42,0.36,4.52,4.99,4.12
2017,,Marc Gasol,MEM,74,40,34,34.2,10950.1,2.07,1.13,0.95,3.65,3.82,3.46
2017,,Manu Ginobili,SAS,68,51,17,18.6,6756.8,1.28,0.68,0.6,4.13,4.45,3.82
2017,,Manny Harris,DAL,4,1,3,6.2,2382,0.45,0.24,0.21,4.37,4.75,3.98
2017,,Malik Beasley,DEN,21,11,10,7.7,3000.5,0.57,0.3,0.27,4.42,4.85,4.03
2017,,Malcolm Delaney,ATL,73,37,36,17.1,6209.4,1.18,0.62,0.55,4.15,4.5,3.82
2017,,Malcolm Brogdon,MIL,75,38,37,26.4,9875.6,1.87,1.01,0.86,4.27,4.69,3.86
2017,,Malachi Richardson,SAC,22,9,13,9,3314.4,0.63,0.35,0.27,4.19,4.59,3.77
2017,,Luol Deng,LAL,56,18,38,26.5,10108.7,1.91,1.03,0.88,4.34,4.67,4
2017,,Luke Babbitt,MIA,68,35,33,15.7,6240.8,1.18,0.67,0.52,4.55,5.09,3.99
2017,,Luis Scola,BKN,35,7,28,12.7,4915.2,0.93,0.5,0.43,4.43,4.92,3.96
2017,,Lucas Nogueira,TOR,56,33,23,19.1,6924.7,1.31,0.69,0.62,4.15,4.36,3.94
2017,,Luc Mbah a Moute,LAC,80,49,31,22.3,8309.8,1.57,0.81,0.76,4.24,4.41,4.07
2017,,Lou Williams,HOU,81,34,47,24.6,8811.3,1.67,0.89,0.77,4.08,4.46,3.71
2017,,Leandro Barbosa,PHX,65,19,46,14.5,5497.9,1.04,0.56,0.48,4.38,4.85,3.93
2017,,LeBron James,CLE,74,51,23,37.8,12611.3,2.39,1.26,1.13,3.8,3.99,3.62
2017,,Lavoy Allen,IND,60,31,29,14.5,5426.3,1.03,0.55,0.47,4.27,4.45,4.09
2017,,Larry Sanders,CLE,5,2,3,2.5,919.4,0.17,0.1,0.07,4.24,4.7,3.77
2017,,Larry Nance Jr.,LAL,63,21,42,22.9,8865.3,1.68,0.9,0.78,4.42,4.76,4.07
2017,,Langston Galloway,SAC,74,29,45,20.2,7536.7,1.43,0.73,0.69,4.25,4.54,3.98
2017,,Lance Thomas,NYK,46,15,31,21,8196.1,1.55,0.83,0.72,4.44,4.71,4.15
2017,,Lance Stephenson,IND,18,8,10,20.1,6949.2,1.32,0.71,0.6,3.94,4.24,3.64
2017,,Lamar Patterson,ATL,5,1,4,8.1,3073.6,0.58,0.3,0.28,4.31,4.81,3.89
2017,,LaMarcus Aldridge,SAS,71,52,19,32.4,11517,2.18,1.16,1.02,4.05,4.16,3.93
2017,,Kyrie Irving,CLE,72,47,25,35.1,12428.6,2.35,1.28,1.08,4.03,4.34,3.72
2017,,Kyle Wiltjer,HOU,14,12,2,3.1,1152.6,0.22,0.12,0.1,4.26,4.37,4.14
2017,,Kyle Singler,OKC,32,15,17,12,4648.4,0.88,0.46,0.42,4.4,4.81,4
2017,,Kyle O'Quinn,NYK,79,29,50,15.6,5579.2,1.06,0.57,0.48,4.08,4.3,3.85
2017,,Kyle Lowry,TOR,59,35,24,37.5,13163.5,2.49,1.35,1.14,4.01,4.33,3.69
2017,,Kyle Korver,CLE,67,33,34,26.2,9805.3,1.86,0.98,0.87,4.27,4.59,3.97
2017,,Kyle Anderson,SAS,71,53,18,14.2,5406.1,1.02,0.56,0.46,4.34,4.75,3.92
2017,,Kristaps Porzingis,NYK,66,26,40,32.8,11840.3,2.24,1.21,1.03,4.11,4.43,3.79
2017,,Kris Humphries,ATL,56,31,25,12.3,4621.9,0.88,0.47,0.4,4.28,4.57,4
2017,,Kris Dunn,MIN,78,30,48,17.1,6711.6,1.27,0.67,0.6,4.47,4.67,4.27
2017,,Kosta Koufos,SAC,71,27,44,20,7524.5,1.43,0.76,0.66,4.29,4.42,4.16
2017,,Klay Thompson,GSW,78,66,12,34,13011.7,2.46,1.3,1.16,4.36,4.95,3.85
2017,,Khris Middleton,MIL,29,19,10,30.7,10842.5,2.05,1.07,0.98,4.03,4.24,3.83
2017,,Kevon Looney,GSW,53,44,9,8.4,3223.7,0.61,0.33,0.28,4.35,4.53,4.14
2017,,Kevin Seraphin,IND,48,23,25,11.2,4183.6,0.79,0.42,0.38,4.22,4.39,4.06
2017,,Kevin Love,CLE,60,40,20,31.4,11328.6,2.15,1.13,1.02,4.1,4.27,3.93
2017,,Kevin Durant,GSW,62,51,11,33.4,11874.8,2.25,1.17,1.08,4.05,4.55,3.62
2017,,Kentavious Caldwell-Pope,DET,76,33,43,33.3,12501.3,2.37,1.26,1.1,4.27,4.62,3.95
2017,,Kent Bazemore,ATL,73,39,34,26.9,10223.4,1.94,1,0.93,4.34,4.62,4.07
2017,,Kenneth Faried,DEN,60,28,32,21.3,8004.9,1.52,0.81,0.7,4.28,4.55,4.01
2017,,Kemba Walker,CHA,79,36,43,34.7,12613.8,2.39,1.33,1.06,4.14,4.59,3.69
2017,,Kelly Oubre Jr.,WAS,79,47,32,20.3,7543.9,1.43,0.73,0.7,4.23,4.37,4.1
2017,,Kelly Olynyk,BOS,75,49,26,20.5,7586.4,1.44,0.78,0.66,4.22,4.55,3.88
2017,,Kay Felder,CLE,42,25,17,9.2,3651.8,0.69,0.36,0.33,4.52,4.79,4.25
2017,,Kawhi Leonard,SAS,73,54,19,33.5,13000.5,2.46,1.38,1.08,4.43,4.86,3.97
2017,,Karl-Anthony Towns,MIN,82,31,51,37,13353.1,2.53,1.35,1.18,4.11,4.28,3.94
2017,,KJ McDaniels,BKN,49,28,21,10.3,3782.5,0.72,0.37,0.35,4.16,4.37,3.97
2017,,Jusuf Nurkic,POR,64,33,31,21.6,7880.4,1.49,0.81,0.68,4.16,4.45,3.86
2017,,Justise Winslow,MIA,18,4,14,34.7,12841.3,2.43,1.32,1.11,4.22,4.52,3.89
2017,,Justin Holiday,NYK,82,31,51,20,7733.4,1.46,0.79,0.68,4.4,4.78,4.04
2017,,Justin Harper,PHI,3,1,2,10.4,3804,0.72,0.41,0.31,4.21,4.59,3.45
2017,,Justin Hamilton,BKN,63,14,49,18.3,7367.1,1.4,0.75,0.64,4.59,5.07,4.13
2017,,Justin Anderson,PHI,74,23,51,16.6,6297.1,1.19,0.66,0.53,4.34,4.68,3.97
2017,,Julius Randle,LAL,74,24,50,28.8,10344.4,1.96,1.08,0.88,4.09,4.49,3.68
2017,,Juancho Hernangomez,DEN,61,29,32,13.8,5378.3,1.02,0.54,0.48,4.47,4.84,4.12
2017,,Jrue Holiday,NOP,67,32,35,32.7,12430.5,2.35,1.28,1.08,4.33,4.95,3.78
2017,,Josh Richardson,MIA,53,23,30,30.5,11435,2.17,1.18,0.99,4.27,4.53,4
2017,,Josh McRoberts,MIA,22,6,16,17.3,6322.4,1.2,0.69,0.51,4.15,4.49,3.76
2017,,Josh Huestis,OKC,2,0,2,15.4,6276,1.19,0.62,0.57,4.67,4.84,4.14
2017,,Jose Calderon,ATL,41,15,26,13.1,5036.9,0.95,0.52,0.43,4.37,4.74,3.99
2017,,Jordan Mickey,BOS,25,9,16,5.6,2139,0.41,0.21,0.19,4.3,4.6,4.1
2017,,Jordan McRae,CLE,37,26,11,10.4,3644.2,0.69,0.37,0.32,4,4.2,3.78
2017,,Jordan Hill,MIN,7,2,5,6.7,2402.3,0.45,0.24,0.22,4.12,4.49,3.78
2017,,Jordan Farmar,SAC,2,1,1,17.7,6735,1.28,0.72,0.56,4.41,4.84,3.66
2017,,Jordan Crawford,NOP,19,9,10,23.3,8168.3,1.55,0.81,0.74,4,4.31,3.71
2017,,Jordan Clarkson,LAL,82,26,56,29.2,11179.7,2.12,1.13,0.99,4.35,4.68,4.03
2017,,Jonathon Simmons,SAS,77,60,17,17.9,6752.3,1.28,0.7,0.58,4.31,4.64,3.97
2017,,Jonathan Gibson,DAL,17,4,13,13.6,5246.5,0.99,0.56,0.43,4.4,4.89,3.89
