Year,Rk,Player,Team,Age,GP,W,L,Min,Def Rtg,DREB,DREB_per,Per_DREB,STL,STL_per,BLK,Per_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2nd_Chance,OPP_PTS_FB,OPP_PTS_Paint,DEF_WS
2017,60,Thabo Sefolosha,ATL,33,62,32,30,25.7,103.3,3.5,14.8,19.2,1.5,31.2,0.5,20.9,9.1,6.5,6.9,20.2,0.036
2017,61,Delon Wright,TOR,25,27,19,8,16.5,96.2,1.2,8.4,10.4,1,32.1,0.4,21.6,5.4,3.6,3,11.6,0.036
2017,62,Dennis Schroder,ATL,23,79,42,37,31.5,105.4,2.6,8.8,11.8,0.9,16.7,0.2,6.5,11.6,9.3,9.1,26.3,0.036
2017,63,Nicolas Batum,CHA,28,77,35,42,34,106.2,5.6,18.4,23.1,1.1,21.4,0.4,11.1,9.2,8.5,9.1,29.2,0.036
2017,64,Ersan Ilyasova,ATL,30,82,35,47,26.1,103.7,4.5,18.4,24.8,0.7,16,0.3,9.8,9.5,7.6,7.8,23.1,0.036
2017,65,Goran Dragic,MIA,31,73,40,33,33.7,106,3,9.8,13,1.2,25.1,0.2,4.5,10.1,9.6,7.7,31.6,0.036
2017,66,Marcus Morris,DET,27,79,36,43,32.5,105.7,3.7,12.7,15.8,0.7,14.1,0.3,12.8,8.5,7,6.9,28.5,0.036
2017,67,Derrick Favors,UTA,25,50,33,17,23.7,102.3,4.3,20.5,25.6,0.9,25.9,0.8,37.4,7.2,4.8,5.5,19.1,0.036
2017,68,Markieff Morris,WAS,27,76,45,31,31.2,105.5,5.1,18,23.6,1.1,19.1,0.6,21.3,10.1,7.8,8.3,27.8,0.035
2017,69,Al Horford,BOS,31,68,46,22,32.3,105.8,5.4,18.3,24.4,0.8,15.2,1.3,44.1,10.1,9.4,8.3,29.1,0.035
2017,70,Luc Mbah a Moute,LAC,30,80,49,31,22.3,102,1.6,7.5,9.6,1,25.6,0.4,20.1,7.2,5.7,6.6,18.7,0.035
2017,71,Jarell Eddie,PHX,25,5,0,5,12.5,93.1,1.2,8.8,11.3,0.2,7.7,0,0,3,3,3.2,9.2,0.035
2017,72,Tobias Harris,DET,24,82,37,45,31.3,105.5,4.3,15.5,19.1,0.7,16.1,0.5,18,8.5,6.7,7.2,26.7,0.035
2017,73,LeBron James,CLE,32,74,51,23,37.8,107.1,7.3,20.9,27.3,1.2,23.1,0.6,19.3,12.4,10.1,10,35.2,0.035
2017,74,Bradley Beal,WAS,24,77,48,29,34.9,106.5,2.4,7.8,10.3,1.1,16.8,0.3,9.6,11.1,10,8.6,31.7,0.035
2017,75,David Nwaba,LAL,24,20,5,15,19.9,100.6,2.3,13.1,16.5,0.7,16.5,0.4,20.6,7.9,3.9,7.1,17.2,0.034
2017,76,JaMychal Green,MEM,27,77,40,37,27.3,104.4,4.9,21.2,27.2,0.6,13.3,0.4,20.4,8.8,6.5,7.9,21,0.034
2017,77,Nikola Mirotic,CHI,26,70,37,33,24,103,4.6,20.8,27.3,0.8,18.8,0.8,35.3,8.2,6.3,6,23,0.034
2017,78,Tony Allen,MEM,35,71,36,35,27,104.4,3.2,13.9,18.1,1.6,32.1,0.4,18.8,7.5,6.5,8.3,20.9,0.034
2017,79,Manu Ginobili,SAS,39,69,51,18,18.7,100.6,1.9,11.3,14.5,1.2,34.6,0.2,11.7,6,4.8,5.4,16.5,0.034
2017,80,DeMar DeRozan,TOR,27,74,47,27,35.4,107,4.3,13.4,17.8,1.1,18.9,0.2,5.2,11.1,10.1,8.9,31.7,0.034
2017,81,Dwyane Wade,CHI,35,60,29,31,29.9,105.5,3.5,12.5,16.2,1.4,29.1,0.7,21.2,9.3,7.2,8,27.6,0.034
2017,82,JJ Redick,LAC,33,78,50,28,28.2,105,2.1,7.8,10.2,0.7,14.9,0.2,6.7,8.8,7.7,8.3,23.6,0.034
2017,83,Jon Leuer,DET,28,75,34,41,25.9,104.1,4,17.4,21.2,0.4,11.4,0.3,16.7,7.1,5.3,5.5,21.8,0.034
2017,84,Kevin Love,CLE,28,60,40,20,31.4,106,8.6,29.5,38.3,0.9,18.1,0.4,14.7,10.2,8.5,9.3,29.8,0.034
2017,85,Vince Carter,MEM,40,73,36,37,24.7,103.6,2.6,12.8,16,0.8,21.4,0.5,23.1,7.3,5.4,6.8,18.6,0.033
2017,86,Taurean Prince,ATL,23,59,28,31,16.6,98.4,2.2,14.3,18.8,0.7,27.6,0.5,25.5,6.5,4.5,4.1,13.3,0.033
2017,87,John Wall,WAS,26,78,48,30,36.4,107.3,3.4,10.5,14,2,30.2,0.6,20.3,11.9,10.3,8.8,33.3,0.033
2017,88,Pau Gasol,SAS,36,64,47,17,25.4,104,6.2,27.1,35.2,0.4,9.8,1.1,36.1,7.5,7,7.3,22.1,0.033
2017,89,James Harden,HOU,27,81,54,27,36.4,107.3,7,21.2,27.6,1.5,24.3,0.5,15.4,13.3,10.1,11.1,37.6,0.033
2017,90,Wesley Matthews,DAL,30,73,29,44,34.2,106.8,3.3,11.7,15.1,1.1,19.9,0.2,8.7,10.3,8,9.9,28,0.033
2017,91,Zaza Pachulia,GSW,33,70,58,12,18.1,100,3.9,22.5,29.3,0.8,20.3,0.5,24.3,6.5,4.9,5.4,17.3,0.033
2017,92,Robin Lopez,CHI,29,81,40,41,28,105.1,3.4,13.1,16.9,0.2,5.3,1.4,46.8,8.5,6.8,8.5,25.7,0.033
2017,93,Edy Tavares,CLE,25,2,1,1,13.8,93,3.5,24.1,30.4,0,0,3,75,2.5,3,0,11,0.033
2017,94,J.J. Barea,DAL,33,35,11,24,22,102.8,2.1,11.7,14.9,0.4,13.1,0,1.6,5.9,6.1,6.6,17.5,0.032
2017,95,Patrick Beverley,HOU,28,67,46,21,30.7,106,4.4,15.9,21,1.5,27.3,0.4,14,10.6,8.3,8.8,31.1,0.032
2017,96,Seth Curry,DAL,26,70,30,40,29,105.6,2.2,9.5,12.2,1.1,23.9,0.1,4.7,8.3,6.6,7.8,23.7,0.032
2017,97,Trevor Ariza,HOU,32,80,53,27,34.7,107.1,5.1,16.2,21,1.8,30.4,0.3,8.6,12.6,9.5,10.6,35.6,0.032
2017,98,Kyle Anderson,SAS,23,72,53,19,14.2,96.7,2.4,18.7,23.4,0.7,28.2,0.4,20.5,4.5,3.1,3.8,11.7,0.032
2017,99,Jeff Teague,IND,29,82,42,40,32.4,106.8,3.6,12.3,16.5,1.2,20.9,0.4,10.6,11.4,9.1,6.8,27.4,0.031
2017,100,Ryan Anderson,HOU,29,72,50,22,29.4,105.8,3,11.5,14.8,0.4,8.5,0.2,7.7,10.5,8,8.3,30.3,0.031
2017,101,Kent Bazemore,ATL,27,73,39,34,26.9,105.2,2.5,10,13.5,1.2,26.6,0.7,24.3,10,8.1,7.3,21.8,0.031
2017,102,Al-Farouq Aminu,POR,26,61,33,28,29.1,105.9,6.1,23.2,29.9,1,23.9,0.7,22.8,9,7.4,7.3,25.2,0.031
2017,103,Domantas Sabonis,OKC,21,81,46,35,20.1,101.9,3,16.4,20.8,0.5,14,0.4,19.6,6.6,5,4,19.2,0.031
2017,104,Ish Smith,DET,28,81,37,44,24.1,104.2,2.6,12.1,15.2,0.8,20.8,0.4,20.2,5.7,5.3,5.4,20.7,0.031
2017,105,Taj Gibson,OKC,32,78,41,37,25.5,104.6,4.2,18.1,22.9,0.5,12.5,0.8,27.3,8.4,5.8,7.4,24.4,0.031
2017,106,Marvin Williams,CHA,31,76,32,44,30.2,106.4,5.4,20.2,25.2,0.8,17.3,0.7,23.9,7.8,7.6,8.2,25.4,0.031
2017,107,James Ennis III,MEM,26,64,32,32,23.4,103.9,3,14.3,18.6,0.7,19.8,0.3,13.9,7.5,5.8,7.7,18.7,0.031
2017,108,Nikola Vucevic,ORL,26,75,27,48,28.8,106.1,8,30.6,39,1,22,1,35.1,9.2,7.8,8.2,28.2,0.031
2017,109,Aron Baynes,DET,30,75,34,41,15.5,98.5,3,20.6,25,0.2,10.4,0.5,42.4,4,3.3,3.6,12.2,0.031
2017,110,Andrew Harrison,MEM,22,72,38,34,20.5,102.5,1.6,9,11.8,0.7,20.7,0.3,15.4,6.5,4.9,6.2,15.4,0.031
2017,111,Shaun Livingston,GSW,31,76,63,13,17.7,100.2,1.6,9.5,12.7,0.5,16.5,0.3,10.3,6.3,4.6,4.6,16.3,0.031
2017,112,Evan Fournier,ORL,24,68,23,45,32.8,107.1,2.4,8.1,10.5,1,20.5,0.1,1.7,10.9,8.8,8.7,31.6,0.03
2017,113,Paul Zipser,CHI,23,44,21,23,19.2,101.7,2.5,13.8,18.1,0.3,10,0.4,20.8,6.3,4.9,5.2,18.6,0.03
2017,114,Malcolm Delaney,ATL,28,73,37,36,17.1,100,1.5,10.4,13.4,0.5,19.5,0,0.8,5.3,4,3.9,13.1,0.03
2017,115,Wayne Ellington,MIA,29,62,35,27,24.2,104.4,1.8,8.7,11.4,0.6,15,0.1,2.3,6.9,6.3,5.7,22.8,0.03
2017,116,Dante Exum,UTA,21,66,40,26,18.6,101.6,1.5,9.1,11.6,0.3,12.7,0.2,8.9,6.3,4,4.4,15.7,0.03
2017,117,Joe Johnson,UTA,36,78,47,31,23.6,104.3,2.7,12.9,16.4,0.5,14.1,0.2,10.3,7.3,5.3,4.8,20.4,0.03
2017,118,Joe Ingles,UTA,29,82,51,31,24.1,104.6,2.9,13.9,17.7,1.2,31.3,0.1,4,7.9,5.2,5.1,20.3,0.03
2017,119,PJ Tucker,TOR,32,81,35,46,27.6,106.1,4.4,18.1,23.4,1.4,30.2,0.2,9.4,9.3,7.4,8.3,23.5,0.03
2017,120,Otto Porter Jr.,WAS,24,80,48,32,32.6,107.2,5,17.2,22.6,1.5,23.8,0.5,19.6,10.2,8.9,8,29.9,0.03
2017,121,Elijah Millsap,PHX,29,2,1,1,11.6,93,1.5,15,20,0,0,0,0,5,6,5,6,0.03
2017,122,Avery Bradley,BOS,26,55,34,21,33.4,107.5,4.9,16.1,22,1.2,23.1,0.2,6.2,10.6,10.3,8.9,31.4,0.029
2017,123,CJ McCollum,POR,25,80,40,40,34.9,107.9,2.9,9,11.8,0.9,18.1,0.5,13.6,11,9,8.7,30.7,0.029
2017,124,Terrence Jones,MIL,25,54,20,34,23.5,104.8,4.5,20.3,26.7,0.7,20,1,33.5,6.8,6.1,7.5,22.1,0.029
2017,125,Lamar Patterson,ATL,25,5,1,4,8.1,83.4,1.2,13.3,16.7,0.2,25,0,0,1.8,2.8,1.4,6,0.029
2017,126,Beno Udrih,DET,34,39,18,21,14.4,97.9,1.3,10.2,12.2,0.3,18.6,0,0,3.7,2.7,3,11.2,0.029
2017,127,Serge Ibaka,TOR,27,79,37,42,30.7,107.2,5.2,18.8,24.1,0.5,12.2,1.6,47.1,10.5,8.1,8,29.4,0.028
2017,128,Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,107.7,2.5,8.7,11,1.2,23.7,0.2,6.3,8.5,7.5,7,29.4,0.028
2017,129,Jared Dudley,PHX,31,64,17,47,21.3,103.9,3,15.6,20.1,0.7,17.9,0.3,11.9,7.8,6,6.7,16.9,0.028
2017,130,Kristaps Porzingis,NYK,21,66,26,40,32.8,107.7,5.5,17.7,23.9,0.7,14.9,2,49.2,10.7,9.7,10.1,30.1,0.028
2017,131,Lucas Nogueira,TOR,24,57,34,23,19.1,102.8,2.8,15.8,21.2,0.9,27.5,1.6,63.1,5.6,5.9,4.1,16.4,0.028
2017,132,Rodney McGruder,MIA,25,78,40,38,25.2,105.6,2.1,9.3,12.3,0.6,17,0.2,7.8,7.2,7,5.6,23.7,0.028
2017,133,Zach Randolph,MEM,35,73,38,35,24.5,105.2,5.7,28,36.3,0.5,13.7,0.1,7.3,7.6,5.7,7.5,19.9,0.028
2017,134,Marcin Gortat,WAS,33,82,49,33,31.2,107.4,7.5,26.9,35.3,0.5,8.8,0.7,30.2,10,8.2,7.9,28.6,0.028
2017,135,Reggie Bullock,DET,26,31,13,18,15.1,99.8,1.6,11.9,14.2,0.6,30,0.1,9.7,4.3,3,4,13.3,0.028
2017,136,Jason Terry,MIL,39,74,37,37,18.4,102.4,1.2,7.7,10.3,0.6,19.2,0.3,13.9,6.4,4.9,4.3,16.1,0.028
2017,137,Amir Johnson,BOS,30,80,51,29,20.1,103.4,3.1,16.9,22.2,0.6,19.4,0.8,40.8,5.7,5.8,5.3,17.7,0.028
2017,138,Rajon Rondo,CHI,31,69,34,35,26.7,106.3,4.1,16.7,22.1,1.4,32.8,0.2,5.9,9.3,6.8,7.7,25.9,0.027
2017,139,Dirk Nowitzki,DAL,39,54,23,31,26.4,106.5,6.1,26.7,33.6,0.6,16.9,0.7,33.3,7.6,6.1,8.5,22.3,0.027
2017,140,DeMarre Carroll,TOR,30,72,44,28,26.1,106.3,2.9,12.6,16.8,1.1,25.6,0.4,14.4,8.2,7.1,6.2,23.3,0.027
2017,141,Malcolm Brogdon,MIL,24,75,38,37,26.4,106.5,2.2,9.7,12.9,1.1,25.2,0.2,5.9,8.2,7.1,6.4,25.9,0.026
2017,142,Kelly Olynyk,BOS,26,75,49,26,20.5,104.2,3.8,20.7,27.4,0.6,18.1,0.4,26.4,6.9,6.3,5,17.9,0.026
2017,143,Nene,HOU,34,67,47,20,17.9,102.8,2.8,17,22,0.8,24.7,0.6,39.8,6.1,4.5,5.3,17.4,0.026
2017,144,Elfrid Payton,ORL,23,82,29,53,29.4,107.5,3.6,13.6,17.5,1.1,23.8,0.5,15.5,9,8.1,7.8,29.1,0.026
2017,145,Shelvin Mack,UTA,27,55,34,21,21.9,104.8,1.9,9.9,12.9,0.8,24.3,0.1,2.3,8,5.3,4.6,19.7,0.026
2017,146,T.J. McConnell,PHI,25,81,27,54,26.3,106.7,2.6,10.9,14.5,1.7,32.4,0.1,4.4,10.5,7.6,8.7,25.1,0.026
2017,147,Dante Cunningham,NOP,30,66,28,38,25,106.1,3.3,14.4,18.6,0.6,14.2,0.4,14.9,7.5,5.6,7.2,23.1,0.026
2017,148,Jeremy Lin,BKN,28,36,13,23,24.5,106.4,3.4,14.6,18.7,1.2,28.8,0.4,13.7,10.1,6.6,8.4,23.7,0.026
2017,149,Mike Tobey,CHA,22,2,0,2,12.6,97.5,0.5,4.3,4.8,0,0,0,0,2,0,9,9,0.026
2017,150,Damian Lillard,POR,26,75,38,37,35.9,108.9,4.3,13.4,17.6,0.9,17.4,0.3,7.2,11.3,9.6,9.9,32.6,0.026
2017,151,Gorgui Dieng,MIN,27,82,31,51,32.4,108.2,5.6,20.2,26.5,1.1,20.4,1.2,39.1,11.2,8.6,9.6,30.7,0.026
2017,152,Brook Lopez,BKN,29,75,20,55,29.6,107.6,3.8,13,16.8,0.5,12.8,1.7,51.7,11.4,8.7,8.7,27.9,0.026
2017,153,Tristan Thompson,CLE,26,78,50,28,30,107.7,5.5,19.6,25.6,0.5,11.8,1.1,42.4,10.3,8.2,9.2,28.3,0.026
2017,154,Langston Galloway,SAC,25,74,29,45,20.2,104.6,1.7,9.4,12.1,0.6,20.1,0.1,3.6,6.4,5.7,5.4,18.9,0.026
2017,155,Jarell Martin,MEM,23,42,23,19,13.3,99.5,2.9,24,30.8,0.4,16,0.2,17.3,4.7,3.4,4.1,9.5,0.026
2017,156,Nemanja Bjelica,MIN,29,65,28,37,18.3,103.4,2.9,18.4,24,0.6,19.5,0.3,15.7,6.2,5.3,4.5,16.7,0.026
2017,157,Clint Capela,HOU,23,65,44,21,23.9,105.9,5.4,25,32.3,0.5,13.1,1.2,57.2,8.4,6.6,7,24.6,0.025
2017,158,Isaiah Thomas,BOS,28,76,51,25,33.8,108.6,2.1,7,9.5,0.9,18.1,0.2,5.8,10.7,10.6,8.9,31.5,0.025
2017,159,Terry Rozier,BOS,23,74,47,27,17.1,102.5,2.5,16.2,21,0.6,22.5,0.1,9.9,5,4.7,4.2,14.2,0.025
2017,160,Dario Saric,PHI,23,81,28,53,26.3,106.9,5,20.7,27.3,0.7,14.8,0.4,14.4,10.3,7.5,8.2,23.9,0.025
2017,161,Monta Ellis,IND,31,74,39,35,27,107.1,2.5,10.3,13.8,1.1,22.5,0.4,13.1,8.9,7.9,5.8,23,0.025
2017,162,Nik Stauskas,PHI,23,80,27,53,27.3,107.1,2.6,10.2,13.8,0.6,12.5,0.4,14.5,10.3,7.6,8.2,26.7,0.025
2017,163,Matthew Dellavedova,MIL,26,76,39,37,26.1,107,1.6,7.2,9.5,0.7,16,0,0,9,6.5,6.2,22.2,0.025
2017,164,Michael Carter-Williams,CHI,25,45,25,20,18.8,104.1,2.9,16.9,21.6,0.8,27.9,0.5,22.8,5.5,4.2,5.6,16.9,0.025
2017,165,E'Twaun Moore,NOP,28,73,32,41,24.9,106.6,1.6,7,9.2,0.7,17.9,0.4,13.2,7.5,6.7,7.4,22.3,0.025
2017,166,CJ Miles,IND,30,76,39,37,23.4,106,2.6,12.9,16.9,0.6,15.9,0.3,15,7.3,5.9,5.1,18.1,0.025
