Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Shane Larkin,BOS,51,36,15,14.6,5629.9,1.07,0.57,0.5,4.41,4.51,4.29
2018,,Shabazz Napier,POR,74,46,28,20.8,7642.9,1.45,0.8,0.65,4.23,4.51,3.94
2018,,Shabazz Muhammad,MIL,43,25,18,9.7,3859.4,0.73,0.37,0.36,4.53,4.56,4.5
2018,,Serge Ibaka,TOR,76,53,23,27.5,10158.5,1.92,1.04,0.88,4.22,4.57,3.88
2018,,Semi Ojeleye,BOS,70,47,23,16.2,6290.5,1.19,0.65,0.55,4.44,4.71,4.15
2018,,Sean Kilpatrick,CHI,52,22,30,12.3,4628.9,0.88,0.47,0.41,4.32,4.68,3.97
2018,,Scotty Hopson,DAL,1,0,1,8.4,3579,0.68,0.35,0.33,5.04,4.12,4.54
2018,,Sam Dekker,LAC,73,36,37,12.1,5032.7,0.95,0.51,0.45,4.75,5.26,4.26
2018,,Salah Mejri,DAL,61,21,40,11.9,4577.9,0.87,0.46,0.4,4.37,4.5,4.24
2018,,Ryan Arcidiacono,CHI,24,6,18,12.7,5249.6,0.99,0.53,0.47,4.73,5.24,4.23
2018,,Ryan Anderson,HOU,66,52,14,26.1,9474.3,1.79,0.95,0.84,4.13,4.39,3.89
2018,,Russell Westbrook,OKC,78,47,31,36.4,13238,2.51,1.34,1.16,4.14,4.67,3.66
2018,,Rudy Gobert,UTA,56,37,19,32.4,12175.9,2.31,1.26,1.04,4.3,4.62,3.97
2018,,Rudy Gay,SAS,57,36,21,21.6,8294.8,1.57,0.86,0.71,4.38,4.63,4.1
2018,,Royce O'Neale,UTA,69,43,26,16.7,6440.5,1.22,0.66,0.56,4.44,4.72,4.13
2018,,Rondae Hollis-Jefferson,BKN,66,25,41,28.1,11061,2.09,1.14,0.96,4.5,4.8,4.18
2018,,Ron Baker,NYK,28,11,17,13.1,5483.2,1.04,0.56,0.48,4.78,5.25,4.32
2018,,Rodney Purvis,ORL,16,5,11,18.1,6643.1,1.26,0.66,0.6,4.26,4.4,4.11
2018,,Rodney McGruder,MIA,18,11,7,16.6,6740.3,1.28,0.68,0.6,4.62,4.86,4.39
2018,,Rodney Hood,CLE,60,29,31,26.9,10197.4,1.93,1.04,0.89,4.32,4.62,4.01
2018,,Robin Lopez,CHI,64,23,41,26.4,9844.3,1.86,1,0.87,4.25,4.58,3.92
2018,,Robert Covington,PHI,79,51,28,31.7,11862.6,2.25,1.18,1.07,4.28,4.66,3.92
2018,,Ricky Rubio,UTA,77,44,33,29.3,11389.6,2.16,1.21,0.94,4.45,4.89,3.99
2018,,Richaun Holmes,PHI,47,30,17,15.5,5760.9,1.09,0.57,0.52,4.24,4.5,3.98
2018,,Richard Jefferson,DEN,20,10,10,8.2,2962.1,0.56,0.3,0.26,4.13,4.2,4.06
2018,,Reggie Jackson,DET,45,27,18,26.7,10090.3,1.91,1.05,0.86,4.32,4.67,3.95
2018,,Reggie Hearn,DET,3,3,0,2.2,685.7,0.13,0.08,0.05,4.21,3.6,5.06
2018,,Reggie Bullock,DET,62,32,30,27.9,10784.3,2.04,1.08,0.96,4.42,4.66,4.17
2018,,Raymond Felton,OKC,80,48,32,16.7,5942.8,1.13,0.58,0.54,4.05,4.25,3.87
2018,,Raul Neto,UTA,41,28,13,12.2,4839,0.92,0.5,0.41,4.61,4.96,4.23
2018,,Rashad Vaughn,ORL,28,13,15,7.6,2833.5,0.54,0.27,0.27,4.28,4.4,4.18
2018,,Ramon Sessions,WAS,28,10,18,14,4975.6,0.94,0.52,0.42,4.22,4.61,3.78
2018,,Rajon Rondo,NOP,65,41,24,26.2,9889.1,1.87,0.98,0.89,4.3,4.67,3.95
2018,,RJ Hunter,HOU,5,3,2,9,3370.4,0.64,0.34,0.3,4.28,4.61,3.95
2018,,Quinn Cook,GSW,33,21,12,22.4,9242.2,1.75,0.97,0.78,4.75,5.27,4.22
2018,,Quincy Pondexter,CHI,23,6,17,8.5,3291.3,0.62,0.33,0.3,4.39,4.74,4.07
2018,,Quincy Acy,BKN,68,25,43,19.4,7093.9,1.34,0.75,0.6,4.16,4.51,3.8
2018,,Paul Zipser,CHI,54,17,37,15.3,6042.2,1.14,0.61,0.53,4.52,5.02,4.05
2018,,Paul Millsap,DEN,38,22,16,30.1,10541.3,2,1.07,0.93,4.11,4.39,3.82
2018,,Paul George,OKC,78,47,31,36.6,13519.8,2.56,1.35,1.21,4.21,4.62,3.83
2018,,Pau Gasol,SAS,77,45,32,23.5,8466.6,1.6,0.88,0.72,4.11,4.36,3.83
